Oxford Radcliffe - mean monthly temperature °C (mean of maximum and minimum),,,,,,,,,,,,,,,,,,,,Updated to Dec 2025 data
,Includes seasonal corrections 1815-52,,,,,,"except 1814 - 3 daily obs, adjusted diurnally",,,,,,,,,,,,,
1993,6.53,4.74,7.46,9.86,12.3,16.05,16.56,15.8,13.01,8.95,5.3,5.98,10.25,1993,5.03,9.87,16.14,9.09,,
1994,5.9,4.04,8.46,8.82,11.45,15.83,19.28,17.05,13.46,10.52,10.57,6.77,11.06,1994,5.31,9.57,17.39,11.51,,
1995,5.25,7.41,6.25,9.85,12.8,15.15,19.49,20.13,14.29,13.81,8.23,2.41,11.28,1995,6.48,9.63,18.26,12.11,,
1996,4.82,3.07,5.1,9.34,9.82,15.7,17.97,17.44,14.34,12.21,6.25,3.17,9.96,1996,3.43,8.08,17.04,10.93,,
1997,2.43,7.26,9.4,9.72,12.39,15.12,17.84,20.32,15.2,10.75,8.88,6.27,11.32,1997,4.28,10.5,17.76,11.61,,
1998,5.6,7.76,8.59,8.54,13.88,15.34,16.68,17.11,15.68,11.28,5.72,6.26,11.06,1998,6.54,10.33,16.37,10.89,,
1999,6.23,5.73,8.16,10.23,13.93,14.9,18.73,17.29,16.63,11.12,8.05,4.97,11.36,1999,6.07,10.77,16.97,11.93,,
2000,5.05,6.99,7.94,8.56,12.92,16.36,16.54,18,15.67,11.25,7.67,6.41,11.13,2000,5.67,9.81,16.97,11.53,,
2001,3.79,5.4,6.06,8.85,13.19,15.67,18.36,17.8,14.18,14.06,7.57,3.5,10.74,2001,5.2,9.37,17.28,11.93,,
2002,6.3,7.73,8.47,10.19,12.6,15.16,17.09,17.84,14.82,10.91,9.1,6.41,11.4,2002,5.84,10.42,16.7,11.61,,
2003,4.7,4.49,7.99,9.95,12.82,17.12,18.58,19.5,14.71,8.95,8.83,5.23,11.11,2003,5.2,10.25,18.4,10.83,,
2004,5.75,5.83,7.14,10.42,13.28,16.92,17.13,18.79,15.9,11.67,8.36,5.69,11.42,2004,5.61,10.28,17.61,11.98,,
2005,6.62,4.73,7.92,10,12.36,16.77,17.83,17.61,16.43,14.02,6.53,4.76,11.34,2005,5.68,10.09,17.41,12.33,,
2006,4.71,3.71,5.57,9.66,13.28,17.37,21.02,17.4,17.8,13.91,8.63,6.85,11.71,2006,4.39,9.51,18.6,13.45,,
2007,7.59,6.73,7.86,11.7,12.26,15.87,16.4,16.83,14.72,11.46,7.8,5.33,11.24,2007,7.06,10.61,16.37,11.33,,
2008,7.49,6.06,7.07,9.08,13.45,15.58,17.37,17.36,13.98,10.13,7.45,4.1,10.78,2008,6.29,9.87,16.77,10.52,,
2009,3.24,4.94,7.81,10.86,13.25,16.32,17.74,18.03,15.39,12.3,9.74,3.8,11.15,2009,4.09,10.64,17.37,12.48,,
2010,1.78,4.17,7.25,10.34,12.44,17.08,19.02,16.75,14.5,10.97,5.53,0.25,10.04,2010,3.25,10.01,17.62,10.34,,
2011,4.44,7.37,8.67,13.33,13.66,14.75,15.81,16.04,15.66,12.8,9.9,6.21,11.57,2011,4.02,11.89,15.54,12.79,,
2012,6.64,4.25,8.77,8.57,13.68,15.28,17.35,18.4,13.73,10.25,7.17,5.6,10.81,2012,5.7,10.34,17.01,10.38,,
2013,4.13,3.56,3.26,8.38,11.33,14.75,19.66,18.13,14.45,13.09,6.84,6.8,10.41,2013,4.43,7.65,17.51,11.46,,
2014,6.41,6.96,8.14,10.81,12.93,16.67,19.24,16.25,16.26,13.35,8.59,5.54,11.79,2014,6.72,10.63,17.39,12.74,,
2015,5.02,4.25,7.33,10.19,12.25,15.64,17.53,17.14,13.61,11.49,10.24,10.8,11.34,2015,4.94,9.92,16.77,11.78,,
2016,6.2,5.9,6.19,8.49,13.51,15.99,18.5,18.53,16.97,11.19,6.36,6.27,11.19,2016,7.63,9.4,17.67,11.51,,
2017,4.01,6.69,9.72,9.9,14.31,17.76,18.61,17,14.58,13.06,7.08,5.41,11.54,2017,5.66,11.31,17.79,11.57,,
2018,6.03,3.34,5.81,10.85,14.31,17.21,21.05,18.38,15.25,11.47,8.61,7.41,7.95,2018,4.93,10.33,18.88,11.78,,
2019,4.08,7.06,8.85,9.64,12.64,15.6,19.08,18.52,15.51,10.92,6.79,6.44,11.3,2019,6.18,10.38,17.73,11.07,,
2020,7.07,7.08,7.26,11.50,13.42,16.30,17.31,18.87,14.77,11.48,8.84,5.72,11.66,2020,6.88,10.73,17.49,11.69,,
2021,4.03,5.83,7.93,7.07,11.18,16.84,19.00,15.00,16.81,12.96,7.24,7.38,10.97,2021,5.19,8.73,16.95,12.34,,
2022,4.90,7.63,8.35,10.01,14.33,16.34,19.81,20.41,15.54,13.85,10.16,3.97,12.14,2022,6.64,10.90,18.85,13.18,,
2023,5.50,6.59,7.80,9.31,13.32,17.89,17.12,17.47,17.66,13.32,8.01,7.83,11.85,2023,5.35,10.14,17.49,13.00,,
2024,5.29,8.59,9.03,10.30,14.38,15.47,17.56,18.15,14.79,11.96,7.91,7.15,11.73,2024,7.23,11.24,17.06,11.55,,
2025,3.37,5.22,8.01,11.22,13.99,18.51,19.75,18.74,14.67,11.72,8.87,6.69,11.77,2025,5.25,11.08,19.00,11.75,,
2026,,,,,,,,,,,,,,2026,,,,,,
2027,,,,,,,,,,,,,,2027,,,,,,
2028,,,,,,,,,,,,,,2028,,,,,,
2029,,,,,,,,,,,,,,2029,,,,,,
2030,,,,,,,,,,,,,,2030,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average 1991-2020,5.18,5.48,7.49,9.85,12.89,15.93,18.1,17.78,15.05,11.53,7.85,5.41,10.95,,5.34,10.07,17.27,11.48,,
